   Compiling dytallix-contracts v0.1.0 (/Users/rickglenn/dytallix/smart-contracts)
   Compiling dytallix-node v0.1.0 (/Users/rickglenn/dytallix/blockchain-core)
   Compiling dytallix-lean-node v0.1.0 (/Users/rickglenn/dytallix/dytallix-lean-launch/node)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 18.77s
     Running `target/debug/dytallix-lean-node`
Secrets mode: Plain Keystore (dev) path=/Users/rickglenn/.dytallix/keystore — no passphrase required
Validator key loaded (64 bytes) via secure provider
Node listening on 0.0.0.0:3030
produced block height=32784 tx_total=0 successes=0
produced block height=32785 tx_total=0 successes=0
produced block height=32786 tx_total=0 successes=0
produced block height=32787 tx_total=0 successes=0
produced block height=32788 tx_total=0 successes=0
produced block height=32789 tx_total=0 successes=0
produced block height=32790 tx_total=0 successes=0
produced block height=32791 tx_total=0 successes=0
produced block height=32792 tx_total=0 successes=0
produced block height=32793 tx_total=0 successes=0
produced block height=32794 tx_total=0 successes=0
produced block height=32795 tx_total=0 successes=0
produced block height=32796 tx_total=0 successes=0
produced block height=32797 tx_total=0 successes=0
produced block height=32798 tx_total=0 successes=0
produced block height=32799 tx_total=0 successes=0
produced block height=32800 tx_total=0 successes=0
produced block height=32801 tx_total=0 successes=0
produced block height=32802 tx_total=0 successes=0
produced block height=32803 tx_total=0 successes=0
produced block height=32804 tx_total=0 successes=0
produced block height=32805 tx_total=0 successes=0
produced block height=32806 tx_total=0 successes=0
produced block height=32807 tx_total=0 successes=0
produced block height=32808 tx_total=0 successes=0
produced block height=32809 tx_total=0 successes=0
produced block height=32810 tx_total=0 successes=0
produced block height=32811 tx_total=0 successes=0
produced block height=32812 tx_total=0 successes=0
produced block height=32813 tx_total=0 successes=0
produced block height=32814 tx_total=0 successes=0
produced block height=32815 tx_total=0 successes=0
produced block height=32816 tx_total=0 successes=0
produced block height=32817 tx_total=0 successes=0
produced block height=32818 tx_total=0 successes=0
produced block height=32819 tx_total=0 successes=0
produced block height=32820 tx_total=0 successes=0
produced block height=32821 tx_total=0 successes=0
produced block height=32822 tx_total=0 successes=0
produced block height=32823 tx_total=0 successes=0
produced block height=32824 tx_total=0 successes=0
produced block height=32825 tx_total=0 successes=0
produced block height=32826 tx_total=0 successes=0
produced block height=32827 tx_total=0 successes=0
produced block height=32828 tx_total=0 successes=0
produced block height=32829 tx_total=0 successes=0
produced block height=32830 tx_total=0 successes=0
produced block height=32831 tx_total=0 successes=0
produced block height=32832 tx_total=0 successes=0
produced block height=32833 tx_total=0 successes=0
produced block height=32834 tx_total=0 successes=0
produced block height=32835 tx_total=0 successes=0
produced block height=32836 tx_total=0 successes=0
produced block height=32837 tx_total=0 successes=0
produced block height=32838 tx_total=0 successes=0
produced block height=32839 tx_total=0 successes=0
produced block height=32840 tx_total=0 successes=0
produced block height=32841 tx_total=0 successes=0
produced block height=32842 tx_total=0 successes=0
produced block height=32843 tx_total=0 successes=0
produced block height=32844 tx_total=0 successes=0
produced block height=32845 tx_total=0 successes=0
produced block height=32846 tx_total=0 successes=0
produced block height=32847 tx_total=0 successes=0
produced block height=32848 tx_total=0 successes=0
produced block height=32849 tx_total=0 successes=0
produced block height=32850 tx_total=0 successes=0
produced block height=32851 tx_total=0 successes=0
produced block height=32852 tx_total=0 successes=0
produced block height=32853 tx_total=0 successes=0
produced block height=32854 tx_total=0 successes=0
produced block height=32855 tx_total=0 successes=0
produced block height=32856 tx_total=0 successes=0
produced block height=32857 tx_total=0 successes=0
produced block height=32858 tx_total=0 successes=0
produced block height=32859 tx_total=0 successes=0
produced block height=32860 tx_total=0 successes=0
produced block height=32861 tx_total=0 successes=0
produced block height=32862 tx_total=0 successes=0
produced block height=32863 tx_total=0 successes=0
produced block height=32864 tx_total=0 successes=0
produced block height=32865 tx_total=0 successes=0
produced block height=32866 tx_total=0 successes=0
produced block height=32867 tx_total=0 successes=0
produced block height=32868 tx_total=0 successes=0
produced block height=32869 tx_total=0 successes=0
produced block height=32870 tx_total=0 successes=0
produced block height=32871 tx_total=0 successes=0
produced block height=32872 tx_total=0 successes=0
produced block height=32873 tx_total=0 successes=0
produced block height=32874 tx_total=0 successes=0
produced block height=32875 tx_total=0 successes=0
produced block height=32876 tx_total=0 successes=0
produced block height=32877 tx_total=0 successes=0
produced block height=32878 tx_total=0 successes=0
produced block height=32879 tx_total=0 successes=0
produced block height=32880 tx_total=0 successes=0
produced block height=32881 tx_total=0 successes=0
produced block height=32882 tx_total=0 successes=0
produced block height=32883 tx_total=0 successes=0
produced block height=32884 tx_total=0 successes=0
produced block height=32885 tx_total=0 successes=0
produced block height=32886 tx_total=0 successes=0
produced block height=32887 tx_total=0 successes=0
produced block height=32888 tx_total=0 successes=0
produced block height=32889 tx_total=0 successes=0
produced block height=32890 tx_total=0 successes=0
produced block height=32891 tx_total=0 successes=0
produced block height=32892 tx_total=0 successes=0
produced block height=32893 tx_total=0 successes=0
produced block height=32894 tx_total=0 successes=0
produced block height=32895 tx_total=0 successes=0
produced block height=32896 tx_total=0 successes=0
produced block height=32897 tx_total=0 successes=0
produced block height=32898 tx_total=0 successes=0
produced block height=32899 tx_total=0 successes=0
produced block height=32900 tx_total=0 successes=0
produced block height=32901 tx_total=0 successes=0
produced block height=32902 tx_total=0 successes=0
produced block height=32903 tx_total=0 successes=0
produced block height=32904 tx_total=0 successes=0
produced block height=32905 tx_total=0 successes=0
produced block height=32906 tx_total=0 successes=0
produced block height=32907 tx_total=0 successes=0
produced block height=32908 tx_total=0 successes=0
produced block height=32909 tx_total=0 successes=0
produced block height=32910 tx_total=0 successes=0
produced block height=32911 tx_total=0 successes=0
produced block height=32912 tx_total=0 successes=0
produced block height=32913 tx_total=0 successes=0
produced block height=32914 tx_total=0 successes=0
produced block height=32915 tx_total=0 successes=0
produced block height=32916 tx_total=0 successes=0
produced block height=32917 tx_total=0 successes=0
produced block height=32918 tx_total=0 successes=0
produced block height=32919 tx_total=0 successes=0
produced block height=32920 tx_total=0 successes=0
produced block height=32921 tx_total=0 successes=0
produced block height=32922 tx_total=0 successes=0
produced block height=32923 tx_total=0 successes=0
produced block height=32924 tx_total=0 successes=0
produced block height=32925 tx_total=0 successes=0
produced block height=32926 tx_total=0 successes=0
produced block height=32927 tx_total=0 successes=0
produced block height=32928 tx_total=0 successes=0
produced block height=32929 tx_total=0 successes=0
produced block height=32930 tx_total=0 successes=0
produced block height=32931 tx_total=0 successes=0
produced block height=32932 tx_total=0 successes=0
produced block height=32933 tx_total=0 successes=0
produced block height=32934 tx_total=0 successes=0
produced block height=32935 tx_total=0 successes=0
produced block height=32936 tx_total=0 successes=0
produced block height=32937 tx_total=0 successes=0
produced block height=32938 tx_total=0 successes=0
produced block height=32939 tx_total=0 successes=0
